"Name of Satellite, Alternate Names","Current Official Name of Satellite","Country/Org of UN Registry","Country of Operator/Owner",Operator/Owner,Users,Purpose,"Detailed Purpose","Class of Orbit","Type of Orbit","Longitude of GEO (degrees)","Perigee (km)","Apogee (km)",Eccentricity,"Inclination (degrees)","Period (minutes)","Launch Mass (kg.)","Dry Mass (kg.)","Power (watts)","Date of Launch","Expected Lifetime (yrs.)",Contractor,"Country of Contractor","Launch Site","Launch Vehicle","COSPAR Number","NORAD Number",Comments
"SB-WASS 3-5 (Space Based Wide Area Surveillance System) NOSS 3-5, USA 229, NRO L34, Intruder)","USA 229",USA,USA,"National Reconnaissance Office (NRO)/US Navy",Military,"Earth Observation","Electronic Intelligence",LEO,"Non-Polar Inclined",0,1019,1205,0.012429831595829992,63.4,107.5,,,,2011/04/15,,"Lockheed Martin",USA,"Vandenberg AFB","Atlas 5",2011-014A,37386,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping."
"SB-WASS 3-5 (Space Based Wide Area Surveillance System) NOSS 3-5, USA 229, NRO L34, Intruder)","USA 229",USA,USA,"National Reconnaissance Office (NRO)/US Navy",Military,"Earth Observation","Electronic Intelligence",LEO,"Non-Polar Inclined",0,1014,1201,0.012504179204279505,63.4,107.4,5000,,,2011/04/15,,"Lockheed Martin",USA,"Vandenberg AFB","Atlas 5",2011-014B,37391,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping."
"SB-WASS 3-6 (Space Based Wide Area Surveillance System) NOSS 3-6, USA 238, NRO L36, Intruder)","USA 238",USA,USA,"National Reconnaissance Office (NRO)/US Navy",Military,"Earth Observation","Electronic Intelligence",LEO,"Non-Polar Inclined",0,1012,1203,0.012771648278167836,63.4,107.4,6500,,,2012/09/13,,"National Reconnaissance Laboratory (NRL)",USA,"Vandenberg AFB","Atlas 5",2012-048A,38758,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping."
"SB-WASS 3-6 (Space Based Wide Area Surveillance System) NOSS 3-6, USA 238, NRO L36, Intruder)","USA 238",USA,USA,"National Reconnaissance Office (NRO)/US Navy",Military,"Earth Observation","Electronic Intelligence",LEO,"Non-Polar Inclined",0,1012,1203,0.012771648278167836,63.4,107.4,6500,,,2012/09/13,,"National Reconnaissance Laboratory (NRL)",USA,"Vandenberg AFB","Atlas 5",2012-048P,38773,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping."
"SB-WASS 3-7 (Space Based Wide Area Surveillance System) NOSS 3-7, USA 264, NRO L55, Intruder)","USA 264",USA,USA,"National Reconnaissance Office (NRO)/US Navy",Military,"Earth Observation","Electronic Intelligence",LEO,"Non-Polar Inclined",0,1014,1099,0.00572274961287282,63.4,107.4,6500,,,2015/10/08,,"National Reconnaissance Laboratory (NRL)",USA,"Vandenberg AFB","Atlas 5",2015-058A,40964,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping."
"SB-WASS 3-7 (Space Based Wide Area Surveillance System) NOSS 3-7, USA 264, NRO L55, Intruder)","USA 264",USA,USA,"National Reconnaissance Office (NRO)/US Navy",Military,"Earth Observation","Electronic Intelligence",LEO,"Non-Polar Inclined",0,1014,1099,0.00572274961287282,63.4,107.4,6500,,,2015/10/08,,"National Reconnaissance Laboratory (NRL)",USA,"Vandenberg AFB","Atlas 5",2015-058R,40981,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping."
"SB-WASS 3-8 (Space Based Wide Area Surveillance System) NOSS 3-8, USA 274, NRO L79, Intruder)","USA 274",USA,USA,"National Reconnaissance Office (NRO)/US Navy",Military,"Earth Observation","Electronic Intelligence",LEO,"Non-Polar Inclined",0,1009,1204,0.013040861365612251,63.4,107.4,6500,,,2017/03/01,,"National Reconnaissance Laboratory (NRL)",USA,"Vandenberg AFB","Atlas 5",2017-011A,42058,"Space surveillance of satellites tr LEO."
"SB-WASS 3-8 (Space Based Wide Area Surveillance System) NOSS 3-8, USA 274, NRO L79, Intruder)","USA 274",USA,USA,"National Reconnaissance Office (NRO)/US Navy",Military,"Earth Observation","Electronic Intelligence",LEO,"Non-Polar Inclined",0,1009,1204,0.013040861365612251,63.4,107.4,6500,,,2017/03/01,,"National Reconnaissance Laboratory (NRL)",USA,"Vandenberg AFB","Atlas 5",2017-011B,42065,"Space surveillance of satellites tr LEO."
ScatSat-1,ScatSat-1,India,India,"Indian Space Research Organization (ISRO)",Government,"Earth Observation","Meteorology/Earth Science",LEO,Sun-Synchronous,0,717,731,0.0009867493656611221,98.1,99.3,371,,,2016/09/26,5,"Indian Space Research Organization (ISRO)",India,"Satish Dhawan Space Centre",PSLV,2016-059H,41790,"Funded and built in India to join an international fleet of orbiting radars designed to track hurricanes, typhoons and other tropical cyclones."
"SCD-1 (Satélite de Coleta de Dados)",SCD-1,Brazil,Brazil,"Instituto Nacional de Pesquisas Espaciais (INPE)",Government,"Earth Observation","Meteorology/Earth Science",LEO,"Non-Polar Inclined",0,716,776,0.0042158516020236085,25,99.7,110,,70,1993/02/09,3,"Instituto Nacional de Pesquisas Espaciais (INPE)",Brazil,"Cape Canaveral",Pegasus,1993-009B,22491,"Collects meteorological and environmental data on the Amazon region; barely functioning."
"SCD-2 (Satélite de Coleta de Dados)",SCD-2,NR,Brazil,"Instituto Nacional de Pesquisas Espaciais (INPE)",Government,"Earth Observation","Meteorology/Earth Science",LEO,"Non-Polar Inclined",0,735,760,0.0017562346329469617,25,99.8,110,,70,1998/10/23,3,"Instituto Nacional de Pesquisas Espaciais (INPE)",Brazil,"Cape Canaveral",Pegasus,1998-060A,25504,"Collects meteorological and environmental data on the Amazon region"
"Scisat-1 (Atmospheric Chemistry Experiment)",Scisat-1,Canada,Canada,"Canadian Space Agency",Government,"Space Science",,LEO,Polar,0,638,649,0.0007842018963427675,73.9,97.6,150,,80,2003/08/12,,"Bristol Aerospace Ltd.",Canada,"Vandenberg AFB","Pegasus XL",2003-036A,27858,"ACE experiments in space."
"SDGSAT 1 (Sustainable Development Science Satellite 1)","SDGSAT 1","NR (1/22)",China,"Chinese Academy of Sciences",Government,"Earth Observation","Hyperspectral Imaging",LEO,Sun-Synchronous,0,502,513,0.0007997091966557616,97.5,98,500,500,,2021/11/05,,,,"Taiyuan Launch Center","Long March 6",2021-100A,49387,"Chinese Academy of Sciences said in a statement that the SDGSAT 1 mission was “customized” for the UN’s 2030 Agenda of Sustainable Development"
"SDO (Solar Dynamics Observatory)",SDO,USA,USA,"National Aeronautics and Space Administration (NASA)",Government,"Space Science",,GEO,,-102,35779,35791,0.00014233187047799786,28,1436.03,3100,1650,1500,2010/02/11,5,"Goddard Space Flight Center",USA,"Cape Canaveral","Atlas 5",2010-005A,36395,"Carries three instruments to study the Sun at high time and spatial resolution: HMI, AIA, and EVE."
"SDS III-4 (Satellite Data System) (NRO L-1, USA 179, Quasar) ","USA 179",USA,USA,"National Reconnaissance Office (NRO)/US Air Force",Military,Communications,"Data Relay",Elliptical,Molniya,0,500,39850,0.7411941985307967,63.4,717.7,,,,2004/08/31,10,"Hughes Space and Communications Co.",USA,"Cape Canaveral","Atlas 2AS",2004-034A,28384,"Real-time data relay from reconnaissance satellites."
"SDS III-5 (Satellite Data System) (NRO L-24, USA 198, Quasar) ","USA 198",USA,USA,"National Reconnaissance Office (NRO)/US Air Force",Military,Communications,"Data Relay",Elliptical,Molniya,0,400,39966,0.7450382254359206,60,718,,,,2007/12/10,10,"National Reconnaissance Laboratory",USA,"Cape Canaveral","Atlas 5",2007-060A,32378,"Real-time data relay from reconnaissance satellites."
"SDS III-6 (Satellite Data System) NRO L-27, USA 227, Quasar)","USA 227",USA,USA,"National Reconnaissance Office (NRO)/US Air Force",Military,Communications,"Data Relay",GEO,,131.06,35770,35803,0.00039139871668663197,4.7,1436.1,,,,2011/03/02,,"National Reconnaissance Laboratory",USA,"Cape Canaveral","Delta 4",2011-011A,37377,"Real-time data relay from reconnaissance satellites."
"SDS III-7 (Satellite Data System) NRO L-38, USA 236, Quasar)","USA 236",USA,USA,"National Reconnaissance Office (NRO)/US Air Force",Military,Communications,"Data Relay",GEO,,-10.11,35771,35805,0.0004032449357180132,3.8,1436.1,,,,2012/06/20,,"National Reconnaissance Laboratory",USA,"Cape Canaveral","Atlas 5",2012-033A,38466,"Real-time data relay from reconnissance satellites."
"SDS III-8 (Satellite Data System) NRO L-33, USA 252, Quasar)","USA 252",USA,USA,"National Reconnaissance Office (NRO)/US Air Force",Military,Communications,"Data Relay",GEO,,170.09,35500,35500,0,4,1436.1,,,,2014/05/22,,"National Reconnaissance Laboratory",USA,"Cape Canaveral","Atlas 5",2014-027A,39751,"Real-time data relay from reconnissance satellites."
"SDS IV-1 (Satellite Data System, NRO L-61, USA 269, Quasar)","USA 269",USA,USA,"National Reconnaissance Office (NRO)/US Air Force",Military,Communications,"Data Relay",GEO,,92.01,35777,35796,0.00022535077627412143,4.92,1436.1,,,,2016/07/28,,"National Reconnaissance Laboratory",USA,"Cape Canaveral","Atlas 5",2016-047A,41724,"Possible 4th generation of data relay satellites."
"SDS IV-2 (Satellite Data System, NRO L-62, USA 279, Quasar)","USA 279",USA,USA,"National Reconnaissance Office (NRO)/US Air Force",Military,Communications,"Data Relay",GEO,,91.07,35786,35802,0.0001897353192296746,4.9,1436.1,,,,2017/10/15,,"National Reconnaissance Laboratory",USA,"Cape Canaveral","Atlas 5",2017-066A,42949,"Second of 4th generation."
"SDS-4 (Small Demonstration Satellite-4)",SDS-4,Japan,Japan,"Japan Aerospace Exploration Agency (JAXA)",Government,"Technology Development",,LEO,Sun-Synchronous,0,661,673,0.0008526360665056132,98.2,98.1,50,48,120,2012/05/17,2,"Japan Aerospace Exploration Agency (JAXA)",Japan,"Tanegashima Space Center",H2A,2012-025C,38339,"Several technology demonstration experiments and including an experiment to monitor AIS (Automatic Information System) messages transmitted from ships at sea."
Seahawk-1,Seahawk-1,USA,USA,"University of North Carolina - Wilmington",Civil,"Earth Observation","Multispectral Imaging",LEO,Sun-Synchronous,0,573,587,0.0010071942446043165,97.7,96.3,4,,,2018/12/03,,"University of North Carolina/Clyde",USA/UK,"Vandenberg AFB","Falcon 9",2018-099BQ,43820,"Will image the world's ocean for color (SOCON: Sustained Ocean Color Observations with Nanosatellites) to assess health. Prototype for a larger constellation."
"SEEDS 2","SEEDS 2",Japan,Japan,"Nihon University",Civil,"Technology Development",,LEO,Sun-Synchronous,0,607,627,0.001431229426077,97.8,97,3,,,2008/04/28,,"Nihon University",Japan,"Satish Dhawan Space Centre","PSLV C9",2008-021J,32791,"Will download telemetry in Morse code and 1200-baud FM."
"SeeMe (Space Enabled Effects for Military Engagements satellite)",SeeMe,NR,USA,"Defense Advanced Research Projects Agency (DARPA)",Military,"Earth Observation","Optical Imaging",LEO,Sun-Synchronous,0,573,590,0.0012227576781989498,97.8,96.3,25,,,2018/12/03,,"Ratheon Corporation",USA,"Vandenberg AFB","Falcon 9","2018-099BS ",43822,"Real time situational awareness for troops on the ground with handheld devices. Possible constellation consisting of about 24 satellites. "
"Sentinel 1A","Sentinel 1A",ESA,ESA,"EUMETSAT (European Organization for the Exploitation of Meteorological Satellites)",Government,"Earth Observation","Earth Science",LEO,Sun-Synchronous,0,691,693,0.0001416029453412631,98.16,98.61,2300,2146,,2014/04/03,7,"Thales Alenia Space Italia",Italy,"Guiana Space Center",Soyuz,2014-016A,39634,"Part of ESA's Copernicus constellation, the EU contribution to GEOSS (Global Earth Observation System of Systems)."
"Sentinel 1B","Sentinel 1B",ESA,ESA,"EUMETSAT (European Organization for the Exploitation of Meteorological Satellites)",Government,"Earth Observation","Earth Science",LEO,Sun-Synchronous,0,695,697,0.0001415227851684121,98.1,98.7,2300,2146,,2016/04/25,7,"Thales Alenia Space",France,"Guiana Space Center",Soyuz-2.1a,2016-025A,41456,
"Sentinel 2A","Sentinel 2A",ESA,ESA,"EUMETSAT (European Organization for the Exploitation of Meteorological Satellites)",Government,"Earth Observation","Earth Science",LEO,Sun-Synchronous,0,787,788,6.985679357317499E-05,98.5,100.62,1130,2146,,2015/06/23,7,"Airbus Defense and Space",France/UK/Germany,"Guiana Space Center",Vega,2015-028A,40697,"Part of ESA's Copernicus constellation, the EU contribution to GEOSS (Global Earth Observation System of Systems)."
"Sentinel 2B","Sentinel 2B",ESA,ESA,"EUMETSAT (European Organization for the Exploitation of Meteorological Satellites)",Government,"Earth Observation","Earth Science",LEO,Sun-Synchronous,0,777,779,0.0001398992725237829,98.5,100.4,1130,,,2017/03/06,7,"Airbus Defense and Space",France/UK/Germany,"Guiana Space Center",Vega,2017-013A,42063,
"Sentinel 3A","Sentinel 3A",ESA,ESA,"EUMETSAT (European Organization for the Exploitation of Meteorological Satellites)",Government,"Earth Observation","Earth Science",LEO,Sun-Synchronous,0,802,804,0.00013941168269901018,98.6,100.9,2300,2146,,2016/02/16,7,"Thales Alenia Space",France,"Plesetsk Cosmodrome",Rokot,2016-011A,41335,
"Sentinel 3B","Sentinel 3B",ESA,ESA,"EUMETSAT (European Organization for the Exploitation of Meteorological Satellites)",Government,"Earth Observation","Earth Science",LEO,Sun-Synchronous,0,802,815,0.0009054816465835481,98.6,101.1,2300,,,2018/04/25,7,"Thales Alenia Space",France,"Plesetsk Cosmodrome",Rokot,2018-039A,43437,
"Sentinel 5P (Sentinel 5 Precursor)","Sentinel 5P",ESA,ESA,"EUMETSAT (European Organization for the Exploitation of Meteorological Satellites)",Government,"Earth Observation","Earth Science",LEO,Sun-Synchronous,0,816,819,0.00020869565217391305,98.7,101.2,820,,,2017/10/13,7,"Airbus Defense and Space",France/UK/Germany,"Plesetsk Cosmodrome",Rokot,2017-064A,42969,"First Copernicus satellite dedicated to tracking changes in Earth’s atmosphere. Tropomi spectrometer will detect atmospheric composition at a scale of 4.3 miles by 2.2 miles (7 kilometers by 3.5 kilometers)."
"Sentinel 6 (Michael Freilich)","Sentinel 6","NR (12/20)",ESA,"EUMETSAT (European Organization for the Exploitation of Meteorological Satellites)",Government,"Earth Observation","Earth Science",LEO,"Non-Polar Inclined",0,1308,1327,0.0012357723577235773,66.06,112.4,1192,,,2020/11/21,5,"Airbus Defense and Space",Germany,"Vandenberg AFB","Falcon 9",2020-086A,46984,"Climate change and particularly sea-level. Same orbit as JASONs."
"SES-1 (AMC-4R)",SES-1,USA,Luxembourg,"SES S.A.",Commercial,Communications,,GEO,,-101,35781,35793,0.00014232511801124368,0.05,1436.1,,2561,5000,2010/04/24,15,"Orbital Sciences Corp.",USA,"Baikonur Cosmodrome","Proton M",2010-016A,36516,"24 C-band; 24 Ku-band, CONUS."
SES-10,SES-10,USA,Luxembourg,"SES S.A.",Commercial,Communications,,GEO,,-67,35777,35799,0.0002609231936998909,0,1436.1,5271,2835,,2017/03/30,15,"Airbus Defense and Space",France/UK/Germany,"Cape Canaveral","Falcon 9",2017-017A,42432,"Primarily for video and the development of Ultra HD."
"SES-11/EchoStar 105","SES-11/EchoStar 105",NR,Luxembourg,"SES S.A./EchoStar Satellite Services, LLC",Commercial,Communications,,GEO,,-105,35785,35801,0.00018973981927282213,0,1436,5200,,,2017/10/11,15,"Airbus Defense and Space",France/UK/Germany,"Cape Canaveral","Falcon 9",2017-063A,42967,"SES will control the 24 C-band transponders; EchoStar the 24 Ku-band transponders."
SES-12,SES-12,NR,Luxembourg,"SES S.A.","Commercial ",Communications,,GEO,,95,35785,35785,0,0,1436,5300,,15000,2018/06/04,15,"Airbus Defense and Space",France/UK/Germany,"Cape Canaveral","Falcon 9",2018-049A,43488,"Carries plasma thrusters mounted to articulating robotic arms for nearly all its in-orbit maneuvers, eliminating the need for large conventional liquid propellant tanks."
SES-14,SES-14,Brazil,Luxembourg,"SES S.A.",Commercial,Communications,,GEO,,-100.7,35785,35785,0,0,1436,4423,,,2018/01/25,15,"Airbus Defense and Space",France/UK/Germany,"Guiana Space Center","Ariane 5",2018-012B,43175,"Placed into the wrong transfer orbit; working its way up and should be totally operational."
SES-15,SES-15,"United Kingdom",Luxembourg,"SES S.A.",Commercial,Communications,,GEO,,-129,35777,35777,0,0,1436.1,,,,2017/05/18,18,"Boeing Satellite Systems",USA,"Guiana Space Center",Soyuz,2017-026A,42709,"Powered exclusively by xenon-fed electric thrusters"
SES-17,SES-17,"NR (1/22)",Luxembourg,"SES S.A.",Commercial,Communications,,GEO,,-61.7,9403,44654,0.5277332814347949,3.4,,6411,3500,,2021/10/24,18,"Thales Alenia Space",UK,"Guiana Space Center","Ariane 5",2021-095A,49055,"Largest satellite ever built for SES or built by Thales. Interoperable with O3B constellation."
SES-2,SES-2,USA,Luxembourg,"SES S.A.",Commercial,Communications,,GEO,,-87,35778,35798,0.00023720290336353718,0.01,1436.19,3200,,5000,2011/09/21,18,"Orbital Sciences Corp.",USA,"Guiana Space Center","Ariane 5 ECA",2011-049A,37809,"24 active C-band and 24 Ku-band transponders;  provides comprehensive coverage of North America and the Caribbean. Also features the Commercially Hosted InfraRed Payload (CHIRP) for U.S. Air Force--wide-field of view sensor to validate space-based infrared technologies from geosynchronous orbit."
SES-3,SES-3,NR,Luxembourg,"SES S.A.",Commercial,Communications,,GEO,,-103,35850,35852,2.3684896141730418E-05,0.05,1439.41,3112,,,2011/07/15,15,"Orbital Sciences Corp.",USA,"Baikonur Cosmodrome","Proton M",2011-035A,37748,"24 C-band; 24 Ku-band, CONUS."
SES-4,SES-4,NR,Luxembourg,"SES S.A.",Commercial,Communications,,GEO,,-22,35781,35792,0.00013046623889554398,0.05,1436.1,,,20000,2012/02/14,15,"Space Systems/Loral",USA,"Baikonur Cosmodrome","Proton M",2012-007A,38087,"52 C-band; 72 Ku-band, Americas, Europe, Africa and the Middle East. "
"SES-5 (Sirius 5, Astra 4B)",SES-5,"United Kingdom",Luxembourg,"SES S.A.",Commercial,Communications,,GEO,,5,35783,35791,9.48834120074958E-05,0.13,1436.12,6007,,,2012/07/09,15,"Space Systems/Loral",USA,"Baikonur Cosmodrome","Proton M",2012-036A,38652,"24 C-band transponders and 36 Ku-band transponders. Also carries hosted L-band payload for the European Commission’s European Geostationary Navigation Overlay Service (EGNOS)."
SES-6,SES-6,NR,Luxembourg,"SES S.A.",Commercial,Communications,,GEO,,-40.5,35757,35816,0.0006997734631670086,0.13,1436.09,6140,,,2013/06/03,15,"EADS Astrium",France/UK/Germany,"Baikonur Cosmodrome","Proton M",2013-026A,39172,"Direct-to home broadcasts and VSat terminal services - Atlantic Ocean region."
"SES-7 (Protostar 2, Indostar 2)",SES-7,NR,Luxembourg,"SES S.A.",Commercial,Communications,,GEO,,108.02,35783,35790,8.302397020625527E-05,0.03,1436.1,4007,,,2009/05/16,15,"Boeing Satellite Systems",USA,"Baikonur Cosmodrome","Breeze M",2009-027A,34941,"13 S-band, 27 Ku-band transponders, covers Indonesia, india, Taiwan and the Philippines. Purchased at auction in Dec. 2009 for $185 million."
SES-8,SES-8,NR,Luxembourg,"SES S.A.",Commercial,Communications,,GEO,,95,35777,35795,0.0002134927412467976,0.02,1436.07,3138,,,2013/12/03,15,"Orbital Sciences Corp.",USA,"Cape Canaveral","Falcon 9",2013-071A,39460,"Direct broadcast TV and communications network services to India and south-east Asia."
SES-9,SES-9,"United Kingdom",Luxembourg,"SES S.A.",Commercial,Communications,,GEO,,108.02,35787,35791,4.743945539505206E-05,0.05,1436.2,5271,2835,12700,2016/03/04,15,"Boeing Satellite Systems",USA,"Cape Canaveral","Falcon 9",2016-013A,41380,"All Ku-band, 57 transponders.  Asia-Pacific region"
"SGDC (Geostationary Satellite for Communications and Defense)",SGDC,NR,Brazil,"Telebras/Brazilian Air Force",Commercial/Military,Communications,,GEO,,-74.85,35775,35798,0.0002727930449634101,0,1436.11,5735,,,2017/05/04,18,"Thales Alenia Space",France/Italy,"Guiana Space Center","Ariane 5",2017-023B,42692,"Joint venture, commercial and Brazilian Air Force. 57 Ka-band and X-band transponders."
"Shaonian Xing (Youth Star)","Shaonian Xing",China,China,"Teen Satellite Project",Civil,"Technology Development",,LEO,Sun-Synchronous,0,483,507,0.0017479970866715222,97.3,94.5,3,,,2018/02/02,,"Teen Satellite Project",China,"Jiuquan Satellite Launch Center","Long March 2D",2018-015H,43199,"First satellite developed by teenagers as part of an outreach project to engage youth in thinking about space, STEAM education, and even satellite development."
"SHFT (Space-based High Frequency Testbed, Georgen)",SHFT,USA,USA,"Defense Advanced Research Projects Agency (DARPA)",Military,"Space Science",,LEO,Polar,0,495,511,0.0011639749745380474,85.04,94.7,5,,,2018/12/16,,"NASA Jet Propulsion Laboratory",USA,"Rocket Lab Launch Complex 1",Electron,2018-104M,43860,"Study variations in the plasma density of the ionosphere by collecting high-frequency radio signals, including those from natural galactic background emissions, from Jupiter, and from transmitters on Earth."
"Shields 1","Shields 1",USA,USA,"NASA Langley Research Center",Government,"Technology Development",,LEO,Polar,0,514,594,0.005777007510109763,85.03,94.7,4,,,2018/12/16,,"NASA Langley Research Center",USA,"Rocket Lab Launch Complex 1",Electron,2018-104B,43850,"Technology demonstration of environmentally durable space hardware"
"Shijian 11-01 (SJ-11-01)","Shijian 11-01",China,China,"China Academy of Space Technology (CAST)",Government,"Space Science",,LEO,Sun-Synchronous,0,686,703,0.0012031990940618586,98.1,98.7,,,,2009/11/12,3,"China Academy of Space Technology (CAST)/ DFH Satellite Co. Ltd.",China,"Jiuquan Satellite Launch Center","Long March 2C",2009-061A,36088,"Monitor space environment; conduct several experiments."
"Shijian 11-02 (SJ-11-02)","Shijian 11-02",China,China,"China Academy of Space Technology (CAST)",Government,"Technology Development",,LEO,Sun-Synchronous,0,686,704,0.0012738853503184713,98.2,98.7,,,,2011/07/29,,"China Academy of Space Technology (CAST/DFH Satellite Co. Ltd.",China,"Jiuquan Satellite Launch Center","Long March 2C",2011-039A,37765,"Conduct various technology and environmental experiments."
"Shijian 11-03 (SJ-11-03)","Shijian 11-03",NR,China,"China Academy of Space Technology (CAST)",Government,"Technology Development",,LEO,Sun-Synchronous,0,688,703,0.0010614960016983937,98.2,98.7,,,,2011/07/06,,"China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.",China,"Jiuquan Satellite Launch Center","Long March 2C",2011-030A,37730,"Conduct various technology and environmental experiments."
"Shijian 11-05 (SJ-11-05)","Shijian 11-05",China,China,"China Academy of Space Technology (CAST)",Government,"Technology Development",,LEO,Sun-Synchronous,0,689,704,0.0010613457864572277,98.1,98.7,,,,2013/07/15,,"China Academy of Space Technology (CAST)",China,"Jiuquan Satellite Launch Center","Long March 2C",2013-035A,39202,"Replacement for 11-04."
"Shijian 11-06 (SJ-11-06)","Shijian 11-06",China,China,"China Academy of Space Technology (CAST)",Government,"Technology Development",,LEO,Sun-Synchronous,0,688,704,0.0011321822813472968,98.26,98.69,,,,2014/03/31,,"China Academy of Space Technology (CAST)",China,"Jiuquan Satellite Launch Center","Long March 2C",2014-014A,39624,
"Shijian 11-07 (SJ-11-07)","Shijian 11-07",China,China,"China Academy of Space Technology (CAST)",Government,"Technology Development",,LEO,Sun-Synchronous,0,687,705,0.001273705066515709,98.12,98.69,,,,2014/09/28,,"China Academy of Space Technology (CAST)",China,"Jiuquan Satellite Launch Center","Long March 2C",2014-059A,40261,"Orbit suggests an earth observation role."
"Shijian 11-08 (SJ-11-08)","Shijian 11-08",China,China,"China Academy of Space Technology (CAST)",Government,"Technology Development",,LEO,Sun-Synchronous,0,690,705,0.0010611956137247967,98.2,98.6,,,,2014/10/27,,"China Academy of Space Technology (CAST)",China,"Jiuquan Satellite Launch Center","Long March 2C",2014-066A,40286,"Orbit suggests an earth observation role."
"Shijian 12 (SJ-12)","Shijian 12",China,China,"China Academy of Space Technology (CAST)",Government,"Technology Development",,LEO,Sun-Synchronous,0,583,601,0.001292731973570813,97.7,96.5,,,,2010/06/15,,"China Academy of Space Technology (CAST)",China,"Jiuquan Satellite Launch Center","Long March 2D",2010-027A,36596,"Conduct various technology and environmental experiments."
"Shijian 13 (SJ-13)","Shijian 13",China,China,"China Academy of Space Technology (CAST)",Government,"Technology Development",,GEO,,110.5,35756,35816,0.0007116424708226587,0,1436.1,4600,,,2017/04/12,,"China Aerospace Science and Technology Corp. (CASC)",China,"Xichang Satellite Launch Center","Long March 3B",2017-018A,42662,"First Chinese GEO satellite to use electric thrusters.  26 user beams covering China and offshore areas, and will service for distance learning, medicine, internet access, airborne and maritime communications and emergency communications."
"Shijian 15 (SJ-15)","Shijian 15",NR,China,"China Academy of Space Technology (CAST)",Government,"Technology Development",,LEO,Sun-Synchronous,0,661,673,0.0008526360665056132,98.06,98.08,,,,2013/07/19,,"China Academy of Space Technology (CAST)",China,"Taiyuan Launch Center","Long March 3C",2013-037C,39210,
"Shijian 16-01 (SJ-16)","Shijian 16-01",China,China,"China Academy of Space Technology (CAST)",Government,"Technology Development",,LEO,Polar,0,599,616,0.0012182013615191687,74.98,96.85,,,,2013/10/25,,"China Academy of Space Technology (CAST)",China,"Jiuquan Satellite Launch Center","Long March 4B",2013-057A,39358,"Conducting space environment exploration and technological experiments."
"Shijian 16-02","Shijian 16-02",China,China,"China Academy of Space Technology (CAST)",Government,"Technology Development",,LEO,Polar,0,338,594,0.018724400234055003,75,96.81,,,,2016/06/29,,"China Academy of Space Technology (CAST)",China,"Jiuquan Satellite Launch Center","Long March 4B",2016-043A,41634,"Conducting space environment exploration and technological experiments."
"Shijian 17","Shijian 17",China,China,"China Satellite Communication Corp. (China Satcom)",Government,"Technology Development",,GEO,,162.9,35777,35796,0.00022535077627412143,0.8,1435.8,3800,,,2016/11/03,,"China Academy of Space Technology (CAST)",China,"Wenchang Satellite Launch Center","Long March 5",2016-065A,41838,"Communications, demonstration of navigation, a demonstration of an optical-sensing payload to observe space debris at high altitude. The optical sensor can also be used for Space Situational Awareness."
"Shijian 20","Shijian 20",China,China,"China Aerospace Science and Technology Corporation (CASC) ",Government,"Technology Development",,GEO,,125,35751,35824,0.0008658008658008658,0.01,1436.1,7600,,,2019/12/27,20,"China Aerospace Science and Technology Corp. (CASC)",China,"Wenchang Satellite Launch Center","Long March 5",2019-097A,44910,"Biggest Chinese communications satellite built. Huge capacity."
"Shijian 21","Shijian 21","NR (1/22)",China,"China Aerospace Science and Technology Corporation (CASC) ",Government,"Technology Development",,GEO,,0,35861,35887,0.0003077360098475523,8.11,1436,5000,2500,,2021/10/24,,"Shanghai Academy of Spaceflight Technology (SAST)",China,"Xichang Satellite Launch Center","Long March 3B",2021-094A,49330,"""Mainly used to test and verify space debris mitigation technologies.”"
"Shijian 6-05A","Shijian 6-05A","NR (1/22)",China,"China Academy of Space Technology (CAST)",Government,"Earth Observation","Electronic Intelligence",LEO,Sun-Synchronous,0,456,470,0.0010244402165959315,97.4,100.7,,,,2021/10/10,,"China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.",China,"Jiuquan Satellite Launch Center","Long March 4B",2021-122B,49962,"Possible reconnaissance function."
"Shijian 6-05B","Shijian 6-05B","NR (1/22)",China,"China Academy of Space Technology (CAST)",Government,"Earth Observation","Electronic Intelligence",LEO,Sun-Synchronous,0,454,468,0.0010247401551749377,97.4,100.7,,,,2021/10/10,,"China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.",China,"Jiuquan Satellite Launch Center","Long March 4B",2021-122A,49961,"Possible reconnaissance function."
"Shijian 6A (SJ-6A, Dong Fang Hong 60)","Shijian 6A",China,China,"China Academy of Space Technology (CAST)",Government,"Space Science",,LEO,Sun-Synchronous,0,579,606,0.0019389587073608617,97.8,96.5,,,,2004/09/08,2,"Shanghai Academy of Spaceflight Technology (SAST)/Dongfanghong Satellite Co.",China,"Taiyuan Launch Center","Long March 4B",2004-035A,28413,"Monitor space radiation."
